time,open,high,low,close
2024-01-07T19:00:00-05:00,89.52,89.57,89.23,89.27
2024-01-07T19:01:00-05:00,89.27,89.38,89.25,89.29
2024-01-07T19:02:00-05:00,89.28,89.69,89.28,89.67
2024-01-07T19:03:00-05:00,89.68,89.72,89.51,89.52
2024-01-07T19:04:00-05:00,89.52,89.71,89.49,89.68
2024-01-07T19:05:00-05:00,89.67,89.92,89.67,89.8
2024-01-07T19:06:00-05:00,89.78,89.93,89.54,89.63
2024-01-07T19:07:00-05:00,89.66,89.83,89.66,89.69
2024-01-07T19:08:00-05:00,89.68,89.76,89.52,89.54
2024-01-07T19:09:00-05:00,89.53,89.57,89.4,89.41
2024-01-07T19:10:00-05:00,89.44,89.55,89.11,89.14
2024-01-07T19:11:00-05:00,89.14,89.14,88.7,88.73
2024-01-07T19:12:00-05:00,88.74,88.98,88.72,88.93
2024-01-07T19:13:00-05:00,88.96,89.03,88.81,88.89
2024-01-07T19:14:00-05:00,88.87,88.99,88.4,88.4
2024-01-07T19:15:00-05:00,88.44,88.73,88.26,88.7
2024-01-07T19:16:00-05:00,88.73,88.73,88.11,88.14
2024-01-07T19:17:00-05:00,88.15,88.37,88.01,88.23
2024-01-07T19:18:00-05:00,88.24,88.55,88.1,88.53
2024-01-07T19:19:00-05:00,88.53,88.87,88.53,88.74
2024-01-07T19:20:00-05:00,88.72,89.14,88.56,89.01
2024-01-07T19:21:00-05:00,89.05,89.06,88.86,88.95
2024-01-07T19:22:00-05:00,88.97,89.36,88.96,89.29
2024-01-07T19:23:00-05:00,89.3,89.36,89.13,89.22
2024-01-07T19:24:00-05:00,89.15,89.33,89.06,89.07
2024-01-07T19:25:00-05:00,89.13,89.16,88.92,89.03
2024-01-07T19:26:00-05:00,89.04,89.34,89.01,89.28
2024-01-07T19:27:00-05:00,89.35,89.6,89.35,89.43
2024-01-07T19:28:00-05:00,89.41,89.47,89.35,89.37
2024-01-07T19:29:00-05:00,89.37,89.37,89.08,89.13
2024-01-07T19:30:00-05:00,89.16,89.34,89.06,89.32
2024-01-07T19:31:00-05:00,89.29,89.29,88.83,88.83
2024-01-07T19:32:00-05:00,88.82,88.82,88.6,88.7
2024-01-07T19:33:00-05:00,88.7,88.7,88.28,88.45
2024-01-07T19:34:00-05:00,88.51,88.66,88.46,88.46
2024-01-07T19:35:00-05:00,88.44,88.48,88,88.11
2024-01-07T19:36:00-05:00,88.15,88.68,88.05,88.47
2024-01-07T19:37:00-05:00,88.5,88.63,88.25,88.59
2024-01-07T19:38:00-05:00,88.63,88.86,88.41,88.86
2024-01-07T19:39:00-05:00,88.86,89.27,88.77,89.24
2024-01-07T19:40:00-05:00,89.24,89.88,89.09,89.76
2024-01-07T19:41:00-05:00,89.81,89.95,89.74,89.88
2024-01-07T19:42:00-05:00,89.88,89.9,89.51,89.73
2024-01-07T19:43:00-05:00,89.77,90,89.38,89.46
2024-01-07T19:44:00-05:00,89.42,89.49,89.3,89.39
2024-01-07T19:45:00-05:00,89.36,89.4,89.13,89.2
2024-01-07T19:46:00-05:00,89.2,89.36,89.11,89.26
2024-01-07T19:47:00-05:00,89.23,89.3,88.84,88.88
2024-01-07T19:48:00-05:00,88.88,88.92,88.67,88.74
2024-01-07T19:49:00-05:00,88.7,88.84,88.62,88.79
2024-01-07T19:50:00-05:00,88.77,88.93,88.59,88.76
2024-01-07T19:51:00-05:00,88.77,89.15,88.68,89.03
2024-01-07T19:52:00-05:00,88.95,88.95,88.78,88.81
2024-01-07T19:53:00-05:00,88.81,88.81,88.5,88.68
2024-01-07T19:54:00-05:00,88.7,89.01,88.62,88.82
2024-01-07T19:55:00-05:00,88.85,89.29,88.79,89.18
2024-01-07T19:56:00-05:00,89.17,89.36,89.17,89.36
2024-01-07T19:57:00-05:00,89.37,89.37,89.11,89.11
2024-01-07T19:58:00-05:00,89.16,89.27,88.79,88.84
2024-01-07T19:59:00-05:00,88.79,88.79,88.39,88.51
2024-01-07T20:00:00-05:00,88.51,89.02,88.29,88.87
2024-01-07T20:01:00-05:00,88.91,89.39,88.91,89.39
2024-01-07T20:02:00-05:00,89.39,89.98,89.38,89.76
2024-01-07T20:03:00-05:00,89.8,90,89.72,89.72
2024-01-07T20:04:00-05:00,89.72,89.82,89.64,89.72
2024-01-07T20:05:00-05:00,89.76,89.96,89.5,89.93
2024-01-07T20:06:00-05:00,89.92,89.99,89.8,89.99
2024-01-07T20:07:00-05:00,89.99,90.42,89.99,90.31
2024-01-07T20:08:00-05:00,90.31,90.31,89.81,89.99
2024-01-07T20:09:00-05:00,90,90.38,89.99,90.32
2024-01-07T20:10:00-05:00,90.34,90.94,90.34,90.76
2024-01-07T20:11:00-05:00,90.7,90.81,90.55,90.68
2024-01-07T20:12:00-05:00,90.69,90.77,90.48,90.68
2024-01-07T20:13:00-05:00,90.63,90.67,90.45,90.6
2024-01-07T20:14:00-05:00,90.6,90.6,90.27,90.39
2024-01-07T20:15:00-05:00,90.43,90.45,89.95,90.09
2024-01-07T20:16:00-05:00,90.12,90.23,89.88,89.88
2024-01-07T20:17:00-05:00,89.89,90.32,89.85,90.26
2024-01-07T20:18:00-05:00,90.27,90.27,89.63,89.68
2024-01-07T20:19:00-05:00,89.7,89.83,89.47,89.83
2024-01-07T20:20:00-05:00,89.92,90.25,89.77,90.21
2024-01-07T20:21:00-05:00,90.29,90.57,90.2,90.41
2024-01-07T20:22:00-05:00,90.47,90.58,90.3,90.48
2024-01-07T20:23:00-05:00,90.48,90.68,90.42,90.64
2024-01-07T20:24:00-05:00,90.64,90.67,90.41,90.45
2024-01-07T20:25:00-05:00,90.48,90.71,90.46,90.51
2024-01-07T20:26:00-05:00,90.54,90.6,90.34,90.36
2024-01-07T20:27:00-05:00,90.35,90.41,90.18,90.34
2024-01-07T20:28:00-05:00,90.37,90.43,90.19,90.25
2024-01-07T20:29:00-05:00,90.25,90.3,90.21,90.28
2024-01-07T20:30:00-05:00,90.28,90.36,90,90.03
2024-01-07T20:31:00-05:00,90,90.14,89.92,90.06
2024-01-07T20:32:00-05:00,90.09,90.29,90.03,90.23
2024-01-07T20:33:00-05:00,90.18,90.19,89.7,89.72
2024-01-07T20:34:00-05:00,89.72,89.84,89.68,89.79
2024-01-07T20:35:00-05:00,89.78,89.9,89.76,89.88
2024-01-07T20:36:00-05:00,89.83,90.21,89.8,90.09
2024-01-07T20:37:00-05:00,90.09,90.19,89.95,90
2024-01-07T20:38:00-05:00,89.99,90.12,89.88,90.01
2024-01-07T20:39:00-05:00,89.96,90.05,89.89,89.98
2024-01-07T20:40:00-05:00,90,90.05,89.88,89.89
2024-01-07T20:41:00-05:00,89.88,90.36,89.78,90.28
2024-01-07T20:42:00-05:00,90.25,90.3,89.89,89.89
2024-01-07T20:43:00-05:00,89.88,89.89,89.73,89.76
2024-01-07T20:44:00-05:00,89.74,89.84,89.69,89.76
2024-01-07T20:45:00-05:00,89.75,90.04,89.73,89.91
2024-01-07T20:46:00-05:00,89.88,90.28,89.88,90.07
2024-01-07T20:47:00-05:00,90.09,90.33,90.03,90.3
2024-01-07T20:48:00-05:00,90.3,90.4,90.18,90.27
2024-01-07T20:49:00-05:00,90.25,90.26,89.93,90.01
2024-01-07T20:50:00-05:00,89.94,90.06,89.91,90.04
2024-01-07T20:51:00-05:00,90.09,90.17,89.86,89.88
2024-01-07T20:52:00-05:00,89.92,90.16,89.9,90.1
2024-01-07T20:53:00-05:00,90.1,90.21,90,90.1
2024-01-07T20:54:00-05:00,90.1,90.31,90.1,90.2
2024-01-07T20:55:00-05:00,90.2,90.28,90.15,90.19
2024-01-07T20:56:00-05:00,90.2,90.2,90.04,90.15
2024-01-07T20:57:00-05:00,90.16,90.29,90.11,90.29
2024-01-07T20:58:00-05:00,90.26,90.31,90.14,90.2
2024-01-07T20:59:00-05:00,90.22,90.31,90.21,90.31
